,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
200808  ,-5.74  ,-5.45  ,-6.50  ,-2.52  ,-4.29  ,-5.37
200809 ,-17.76 ,-14.03 ,-14.31 ,-15.23 ,-12.82 ,-15.18
200810 ,-28.06 ,-20.28 ,-20.41 ,-26.82 ,-20.54 ,-16.68
200811  ,-8.36  ,-4.56  ,-2.38  ,-6.72  ,-4.91  ,-5.37
200812   ,7.68   ,7.07   ,7.38   ,7.74   ,7.36   ,5.03
200901  ,-4.62  ,-5.60  ,-5.22 ,-10.39  ,-9.95  ,-8.60
200902  ,-9.36  ,-9.02  ,-7.81 ,-11.00 ,-10.14  ,-9.58
200903  ,10.73   ,3.69   ,1.74  ,12.18   ,6.36   ,2.41
200904  ,26.43  ,10.86   ,4.26  ,26.21  ,12.41   ,3.34
200905  ,24.36  ,15.25  ,11.57  ,15.96  ,13.75  ,10.10
200906   ,1.36   ,2.00   ,1.91  ,-1.34  ,-1.97   ,0.92
200907   ,8.18   ,5.58   ,6.46  ,10.05   ,9.75   ,8.70
200908   ,9.61   ,5.13   ,4.21   ,6.80   ,4.03   ,0.47
200909   ,7.50   ,4.32   ,4.76   ,4.04   ,4.94   ,4.37
200910  ,-0.89  ,-0.40  ,-0.04  ,-4.05  ,-1.00  ,-1.12
200911  ,-0.95  ,-0.11   ,0.82   ,2.15   ,3.11   ,2.46
200912  ,-0.99  ,-0.54   ,1.10   ,0.94   ,1.36   ,2.28
201001  ,-0.00   ,0.11  ,-0.45  ,-3.73  ,-4.66  ,-5.09
201002  ,-0.67  ,-0.25   ,0.18  ,-0.53  ,-0.14  ,-0.00
201003   ,3.71   ,5.70   ,7.36   ,4.48   ,6.57   ,9.32
201004   ,1.69   ,2.98   ,3.57  ,-1.36  ,-0.93  ,-0.84
201005 ,-10.87 ,-10.73 ,-11.44 ,-10.69 ,-10.36 ,-11.79
201006  ,-1.59  ,-0.13  ,-1.61  ,-2.22  ,-0.42  ,-2.02
201007   ,7.23   ,6.67   ,7.55  ,11.65   ,8.12   ,9.69
201008  ,-4.42  ,-2.45  ,-1.95  ,-5.29  ,-2.61  ,-1.69
201009   ,8.82   ,9.57  ,12.17   ,9.11  ,10.21  ,10.81
201010   ,2.68   ,3.35   ,3.62   ,4.16   ,4.00   ,3.96
201011  ,-3.68  ,-1.59   ,1.26  ,-7.66  ,-4.13  ,-1.35
201012   ,9.93   ,9.83  ,10.90   ,8.53   ,7.50   ,8.67
201101   ,1.78   ,2.38   ,1.50   ,5.41   ,0.85   ,0.17
201102   ,2.08   ,2.89   ,3.82   ,3.82   ,3.47   ,2.96
201103  ,-1.25  ,-0.56  ,-1.76  ,-2.84  ,-1.18  ,-0.90
201104   ,2.58   ,3.53   ,5.08   ,4.97   ,5.95   ,6.92
201105  ,-4.40  ,-2.63  ,-2.37  ,-2.96  ,-2.64  ,-2.73
201106  ,-2.43  ,-0.31  ,-1.92  ,-2.84  ,-1.00  ,-0.27
201107  ,-0.53   ,1.64   ,1.47  ,-3.00  ,-1.44   ,0.43
201108  ,-7.80  ,-5.89  ,-7.75  ,-9.52  ,-7.11 ,-10.79
201109 ,-11.27  ,-7.85 ,-11.78  ,-9.65  ,-9.30 ,-13.30
