Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199909  ,-3.08  ,-5.93  ,-1.66  ,-1.80  ,-4.27  ,-2.60
199910  ,-0.84   ,4.27  ,10.84   ,0.04   ,3.65   ,5.52
199911   ,5.06   ,7.30  ,12.51   ,6.59  ,11.58   ,7.77
199912   ,7.28   ,5.27   ,1.36   ,7.28  ,12.67  ,15.50
200001  ,10.65   ,3.95   ,1.00  ,-1.75  ,-1.00   ,2.00
200002   ,0.81   ,2.63   ,2.24  ,-1.33  ,-0.44   ,8.33
200003   ,2.10   ,1.02  ,-2.94  ,-0.66   ,2.23  ,-0.31
200004  ,-8.01  ,-8.81 ,-15.87  ,-8.52 ,-10.47 ,-14.48
200005  ,-4.39  ,-0.04  ,-0.74  ,-0.36  ,-2.94  ,-3.22
200006  ,-0.52  ,-0.93  ,-0.10  ,-1.08   ,2.05   ,5.93
200007  ,-1.67  ,-2.03  ,-4.05  ,-2.17  ,-3.01  ,-7.99
200008  ,-3.16  ,-1.12   ,0.40  ,-2.53   ,0.70   ,1.16
200009  ,-7.63  ,-6.48  ,-9.43  ,-8.89  ,-9.07  ,-9.62
200010 ,-11.75  ,-7.73  ,-9.75  ,-5.98  ,-9.04  ,-9.07
200011  ,-7.48  ,-6.91  ,-7.01 ,-11.33  ,-6.37  ,-9.14
200012  ,-1.31  ,-1.66  ,-2.98   ,2.20   ,1.80   ,2.45
200101  ,14.06   ,8.68   ,9.59  ,17.72  ,13.02   ,6.18
200102  ,-1.19   ,1.06  ,-2.03 ,-12.99  ,-7.34  ,-3.56
200103  ,-6.43  ,-3.96  ,-4.50 ,-12.61  ,-7.46  ,-7.96
200104   ,0.89   ,0.81   ,2.16   ,5.07   ,3.75   ,4.75
200105   ,0.13   ,0.87   ,1.88  ,-0.35   ,0.53   ,3.16
200106  ,-0.87   ,0.24   ,1.95  ,-3.39  ,-1.37  ,-0.17
200107  ,-5.69  ,-6.31  ,-5.80  ,-8.07  ,-5.37  ,-7.13
200108   ,0.45  ,-0.26  ,-1.17  ,-4.04   ,0.12  ,-1.17
200109 ,-18.04 ,-11.07 ,-10.23 ,-18.62 ,-14.04 ,-12.79
200110   ,7.76   ,3.24   ,3.88   ,5.79   ,6.13   ,4.53
200111  ,11.83   ,6.37   ,4.76  ,15.02  ,10.43   ,5.59
200112   ,5.32   ,6.59   ,4.00   ,7.02  ,10.27   ,7.99
200201   ,7.09   ,5.21   ,5.52   ,0.30   ,3.05   ,6.46
200202  ,-2.85   ,0.14   ,1.63  ,-0.73   ,2.07   ,3.75
200203  ,10.41   ,8.62   ,5.41   ,5.08   ,6.27   ,8.49
200204   ,0.21   ,3.04   ,2.89   ,0.58   ,1.38  ,-1.64
200205  ,-0.59  ,-0.00  ,-0.49   ,0.13  ,-3.60  ,-0.30
200206  ,-8.98  ,-5.51  ,-4.79  ,-8.06  ,-7.75  ,-6.01
200207  ,-5.02  ,-3.95  ,-2.96  ,-6.53  ,-6.76  ,-5.20
200208  ,-1.08   ,2.17  ,-0.87   ,1.34   ,1.16   ,2.11
200209 ,-13.84 ,-10.74  ,-9.46 ,-13.11 ,-10.46  ,-8.76
200210   ,4.07   ,4.92   ,7.02   ,6.47   ,6.72   ,5.76
200211   ,5.47   ,6.68   ,5.05   ,6.83   ,5.42   ,6.60
200212  ,-3.87  ,-0.49  ,-0.76  ,-5.51  ,-1.90  ,-2.05
200301   ,1.21   ,2.31   ,4.53   ,0.81  ,-1.10   ,0.58
200302  ,-2.56  ,-1.51  ,-1.38  ,-4.22  ,-3.05  ,-1.66
200303  ,-6.34  ,-3.05  ,-3.74  ,-4.01  ,-3.68  ,-1.51
200304   ,8.75   ,6.86   ,6.97   ,9.66  ,10.01   ,7.14
200305   ,9.06   ,7.95   ,5.01   ,8.66   ,6.41   ,7.41
200306   ,6.85   ,5.26   ,6.58   ,5.87   ,6.11   ,6.51
200307   ,3.56   ,4.14   ,5.22   ,5.45   ,4.77   ,5.84
200308   ,2.74   ,5.04   ,6.86   ,6.95   ,6.92   ,6.84
200309   ,1.72   ,1.84   ,2.86   ,2.19   ,0.57   ,3.03
200310   ,2.82   ,5.83   ,8.59   ,6.68   ,7.87   ,9.00
200311   ,2.51   ,2.23   ,3.47   ,1.11   ,0.90   ,1.51
200312   ,6.96   ,6.96   ,6.22   ,7.05   ,6.84   ,9.90
200401   ,3.41   ,4.46   ,4.38   ,3.07   ,4.35   ,2.79
200402   ,3.23   ,3.98   ,4.99   ,4.22   ,5.35   ,4.47
200403   ,1.10   ,0.63   ,2.60   ,0.06   ,1.50   ,2.90
200404  ,-2.63  ,-2.47  ,-4.26  ,-6.36  ,-6.72  ,-8.90
200405  ,-4.99  ,-4.64  ,-4.84  ,-1.29  ,-2.82  ,-2.35
200406  ,-1.71  ,-1.13   ,0.95   ,0.20   ,1.92  ,-1.29
200407  ,-3.05  ,-0.45  ,-1.49  ,-3.67  ,-1.27  ,-0.83
200408   ,3.71   ,3.71   ,4.84   ,5.08   ,4.19   ,3.09
200409   ,4.91   ,6.79   ,7.25   ,3.45   ,6.17   ,7.76
200410   ,1.55   ,3.38   ,3.90   ,2.33   ,2.95   ,3.51
200411   ,7.49  ,11.27  ,10.76   ,6.62   ,8.70  ,10.61
200412   ,4.91   ,7.48   ,9.36   ,5.17   ,6.22   ,5.34
200501   ,3.68   ,3.66   ,3.67  ,-1.41   ,1.13   ,0.35
200502   ,7.93   ,8.73   ,9.96   ,8.23   ,8.46   ,8.60
200503  ,-3.88  ,-4.69  ,-5.12  ,-5.58  ,-6.81  ,-4.97
200504  ,-3.87  ,-1.91  ,-0.19  ,-4.15  ,-1.93  ,-1.88
200505   ,1.38   ,1.88   ,4.71   ,5.09   ,3.26   ,2.14
200506   ,4.09   ,4.41   ,5.26   ,2.39   ,3.73   ,4.82
200507   ,4.49   ,7.34   ,8.66   ,6.39   ,6.66   ,7.41
200508  ,-3.10  ,-0.26   ,2.05  ,-0.76   ,1.76   ,1.86
200509   ,4.21   ,6.69   ,5.92   ,9.54   ,8.22   ,9.86
200510  ,-3.91  ,-1.81  ,-4.50  ,-6.86  ,-5.79  ,-5.84
200511   ,7.21   ,7.78   ,9.88   ,7.87   ,7.78   ,8.48
200512   ,5.53   ,5.93   ,5.53   ,7.72   ,6.66   ,5.10
